Block,Trial,V3,CueDirection,Condition,Level,V7,V8,V9,V10,V11,V12,V13,long,V15,V16,V17,V18,V19,V20,V21,SubID,BlockID
2,88,1,right,2,450,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,2
2,89,1,right,2,600,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,90,1,right,2,300,0,0,0,11,0,0,0,0,2,1,1,1,0,1,0,1,2
2,91,1,left,2,600,0,0,0,28,0,0,0,0,2,1,1,1,0,1,0,1,2
2,92,1,right,2,900,0,0,0,36,0,0,0,1,1,1,1,1,0,1,0,1,2
2,93,1,right,2,300,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,2
2,94,1,left,2,150,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,2
2,95,1,right,2,1050,0,0,0,27,0,0,0,0,2,0,1,1,0,1,0,1,2
2,96,1,left,2,1050,0,0,0,16,0,0,0,1,1,1,1,1,0,1,0,1,2
2,97,1,right,2,450,0,0,0,13,0,0,0,0,2,1,1,1,0,1,0,1,2
2,98,1,left,2,750,0,0,0,15,0,0,0,0,2,1,1,1,0,1,0,1,2
2,99,1,left,2,450,0,0,0,13,0,0,0,0,2,1,1,1,0,1,0,1,2
2,100,1,right,2,1050,0,0,0,27,0,0,0,1,1,1,1,1,0,1,0,1,2
2,101,1,left,2,750,0,0,0,8,0,0,0,0,2,1,1,1,0,1,0,1,2
2,102,1,left,2,450,0,0,0,13,0,0,0,0,2,1,1,1,0,1,0,1,2
2,103,1,right,2,150,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,2
2,104,1,right,2,900,0,0,0,33,0,0,0,0,2,1,1,1,0,1,0,1,2
2,105,1,left,2,900,0,0,0,30,0,0,0,1,1,1,1,1,0,1,0,1,2
2,106,1,left,2,450,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,2
2,107,1,left,2,450,0,0,0,32,0,0,0,0,2,1,1,1,0,1,0,1,2
2,108,1,left,2,600,0,0,0,31,0,0,0,0,2,1,1,1,0,1,0,1,2
2,109,1,right,2,900,0,0,0,4,0,0,0,1,1,1,1,1,0,1,0,1,2
2,110,1,right,2,750,0,0,0,25,0,0,0,0,2,1,1,1,0,1,0,1,2
2,111,1,left,2,300,0,0,0,28,0,0,0,0,2,1,1,1,0,1,0,1,2
2,112,1,left,2,450,0,0,0,21,0,0,0,0,2,1,1,1,0,1,0,1,2
2,113,1,left,2,300,0,0,0,14,0,0,0,0,2,1,1,1,0,1,0,1,2
2,114,1,left,2,150,0,0,0,19,0,0,0,0,2,1,1,1,0,1,0,1,2
2,115,1,right,2,150,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,2
2,116,1,left,2,750,0,0,0,35,0,0,0,0,2,1,1,1,0,1,0,1,2
2,117,1,left,2,450,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,2
2,118,1,left,2,600,0,0,0,6,0,0,0,0,2,0,1,0,1,0,0,1,2
2,119,1,left,2,600,0,0,0,13,0,0,0,1,1,1,1,1,0,1,0,1,2
2,120,1,left,2,300,0,0,0,36,0,0,0,0,2,1,1,1,0,1,0,1,2
2,121,1,right,2,300,0,0,0,5,0,0,0,0,2,1,1,1,0,1,0,1,2
2,122,1,left,2,600,0,0,0,2,0,0,0,0,2,1,1,1,0,1,0,1,2
2,123,1,left,2,750,0,0,0,13,0,0,0,1,1,1,1,1,0,1,0,1,2
2,124,1,left,2,450,0,0,0,36,0,0,0,0,2,0,1,1,0,1,0,1,2
2,125,1,right,2,450,0,0,0,6,0,0,0,0,2,0,1,1,0,1,0,1,2
2,126,1,left,2,600,0,0,0,36,0,0,0,1,1,1,1,1,0,1,0,1,2
2,127,1,right,2,150,0,0,0,11,0,0,0,0,2,1,1,1,0,1,0,1,2
2,128,1,left,2,1050,0,0,0,25,0,0,0,1,1,1,1,1,0,1,0,1,2
2,129,1,left,2,1050,0,0,0,12,0,0,0,1,1,1,1,1,0,1,0,1,2
2,130,1,right,2,600,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,2
2,131,1,right,2,600,0,0,0,28,0,0,0,0,2,1,1,1,0,1,0,1,2
2,132,1,left,2,750,0,0,0,12,0,0,0,1,1,1,1,1,0,1,0,1,2
2,133,1,left,2,900,0,0,0,18,0,0,0,1,1,1,1,1,0,1,0,1,2
2,134,1,right,2,1050,0,0,0,19,0,0,0,1,1,1,1,1,0,1,0,1,2
